income,happiness
38626.47418,2.314488983
49793.81382,3.433489759
49239.56936,4.599373404
32143.72439,2.791113803
71964.09251,5.596398273
37296.43479,2.458555872
46745.17389,3.192991809
44981.03821,1.907136833
31216.30526,2.942449872
46399.14435,3.737941605
46328.39514,3.175406147
27731.78895,2.009046461
71194.78595,5.951814099
74666.53196,5.960547308
21177.42331,1.445798858
25591.6582,2.898583142
23547.9322,1.231167524
23881.57248,2.312988055
47556.80274,2.666116035
19942.75047,2.584729022
73109.16026,5.747444104
35283.18956,2.546524587
24287.51675,1.200785525
35427.47875,3.078293381
52272.01239,4.317760919
66919.9314,5.381478737
39004.09939,3.565224319
22910.55478,0.953412996
23805.12706,2.169161261
25496.08776,2.060794311
69332.95827,6.299101259
18556.45173,1.590355862
35890.23138,2.250929414
68264.77911,5.9142477
20706.01883,2.191833702
52242.05274,5.767814366
22431.1363,0.97288292
70761.66367,5.010577427
41906.72496,2.239664992
19564.8612,1.927578829
50617.58185,3.35807157
39821.89934,2.400087291
30650.5862,3.407980039
36828.7749,2.576176307
37894.29291,2.473079377
53587.15665,3.752659492
51961.19777,4.087631183
52411.89571,3.543203654
71016.19593,5.34835294
34240.21093,3.056376653
22533.99021,1.558422563
53703.36904,3.225132752
62256.06,5.034231009
54828.62234,3.857424259
40341.72109,3.61905549
65102.18719,4.004537739
60292.13862,4.802091807
69491.12894,4.658890392
71950.37289,5.231702968
27573.38498,2.480606467
69560.79482,5.498147193
46701.92578,4.550636958
63682.92668,3.570013567
61666.81166,4.719665333
60741.58292,4.503108168
54847.18965,5.046081775
15895.74738,0.669715948
16804.73928,1.606072357
54999.47957,4.826602696
40438.90903,2.208240516
50050.93241,4.056493099
48635.81726,3.567905233
15062.75045,1.308487263
28646.63845,4.1596093
58779.06294,4.633915057
64839.83789,5.068747881
49380.36592,3.040797294
56254.34421,3.804298861
72282.65215,5.034003785
53374.60294,3.703437932
28258.2659,2.188938121
59313.66673,5.538047529
35202.55202,3.583875162
32399.40593,3.09688561
34983.86369,2.200982172
71861.12258,5.151598289
47191.66072,5.950986328
35948.01958,2.968187102
32339.42432,2.399561326
15141.53223,0.859499052
40025.37064,1.775932552
61981.0376,4.661261209
22806.50861,0.727221191
21898.65512,0.771286567
34341.51134,3.348788206
59322.69677,3.966215411
53078.39437,2.890447416
56643.44909,3.773260652
74392.47611,6.359600004
21347.02147,0.268722097
65012.74722,4.374832318
36511.83174,2.155843323
22864.95392,1.89355686
47488.59137,4.902991575
54591.60761,4.833506427
34330.64765,3.172299463
71763.99653,5.029951665
55063.95117,4.261013003
30976.15732,1.67239058
46475.55992,1.497024128
18283.06344,1.265488916
35345.66235,2.667465435
46061.7584,1.999325527
53615.03134,5.231863313
68793.33037,5.21140132
43170.32306,3.661656456
33831.6358,1.415034656
49322.07232,4.933044092
49355.96519,4.130778265
26015.53311,2.282266934
57112.63543,3.901170334
61175.30552,4.691998851
37714.15149,3.577800675
71172.2011,5.562545475
21948.81851,2.39322812
59520.01916,3.56472374
39223.02763,2.253721516
70815.89058,4.121647747
69507.44997,4.169100759
36608.76547,3.823898686
17890.9178,0.458377574
35403.41099,2.576939959
45333.95191,2.947531471
48673.39442,3.739995796
40560.05444,3.571446511
56346.43477,4.808150425
54616.35882,4.017611208
31861.75826,1.839802006
44176.65557,3.468573793
57602.89224,4.758785492
37167.00249,2.391677519
21825.61567,0.992917365
42919.8369,3.16938024
34100.30276,2.089042355
35810.97036,1.843675775
35096.63093,1.616607435
66602.16364,5.949347502
62717.8643,4.940227777
37350.17626,2.841238677
43932.0834,2.944391335
35122.16897,3.026918175
62397.39633,5.097802509
36814.85586,3.036819937
72413.12999,4.68281699
63453.69732,4.000819183
59397.41524,4.570801127
24593.2138,2.042739312
25390.88891,1.748651124
67086.03726,6.064013048
68313.22325,5.132401469
50826.57925,3.11334209
60306.07372,4.821810262
65745.95032,4.179521023
35742.96929,1.631261107
55299.08432,3.822179643
24093.81746,1.857541886
42647.89552,3.751089281
35303.44828,3.158618594
61431.49816,4.927132625
51576.97377,4.600114757
47108.47457,2.408379902
68475.15267,4.486703665
54646.40093,2.727715712
41765.32342,3.020724447
37480.93215,3.749180727
22745.23114,2.311554237
15763.65722,0.987603172
19241.33698,1.461144421
59042.46043,4.57685653
51890.31076,4.767595639
18798.6818,0.438171567
25443.47646,2.351202468
32213.93614,3.453102739
72603.74143,5.381398471
64816.16962,4.820091247
56884.87723,4.658742683
66336.18821,5.380070207
59727.41351,3.315989476
38977.37917,2.799747487
64612.43321,4.206754912
66280.36302,4.402663195
31189.59195,2.769118126
46959.63614,2.784244545
15736.93715,0.688090581
36703.76931,3.47649914
71944.0696,5.836196656
17804.78658,2.003926093
21423.59555,0.971332454
36564.8599,2.857614364
20903.54141,1.852117711
33630.97172,3.515179177
24231.43852,2.100552494
71115.83642,6.086478284
30399.41856,4.083821161
23732.32035,1.524782291
19845.6369,2.579516515
26284.82853,1.619226127
71367.59971,5.506621537
31049.18354,1.095999271
15586.56751,0.968527327
74784.46618,4.877725538
28139.00047,1.759698667
57445.39644,5.032211034
65409.88357,5.713802294
65627.94132,4.795842867
54701.24995,4.660289961
20851.30525,2.740395407
45895.72497,4.250568064
50745.01769,3.941019322
74635.09813,4.50344538
58539.05763,4.633228732
37645.39962,4.030864938
70627.9211,6.863387951
63773.76426,5.079475899
19208.62764,1.625268393
73642.13378,6.618279842
65357.98861,4.656998572
73009.02725,6.004987475
30372.31724,2.410635566
67032.66827,4.261219972
19279.96684,1.065623809
42235.53578,2.295700142
29227.0632,1.919511103
44271.08605,3.581381038
20705.6241,0.628942061
52240.70229,3.344108372
71618.72875,6.160434101
22106.96478,2.861274444
72070.597,4.209470573
21840.84991,1.226298134
44149.98466,4.79332516
50148.09669,3.313796516
26020.3712,2.152698433
29170.48671,2.923683874
62443.41635,3.452067233
68596.54494,4.258311529
23712.30424,3.961032766
59640.5759,3.427723163
71536.74088,4.720987338
22898.9742,1.571949813
63762.28033,6.186945609
35405.04299,3.552736964
31398.2572,1.245785944
64607.42301,3.426911652
26413.48462,1.877147043
20022.13553,1.817889113
63914.28135,5.239909498
27637.19772,1.384044112
68312.57549,3.837977768
38272.54525,2.32169769
37706.70898,3.31157823
31598.54892,3.05738784
50994.17157,4.737045954
56103.90825,4.590970461
18563.71752,0.654242148
53637.29581,3.981127739
23361.33563,2.336276033
49758.51368,4.540636147
26295.46775,2.192744863
26464.58097,1.788176341
38598.92387,2.71943218
41215.30621,4.212697339
63859.4064,4.477271392
38427.09679,2.468859994
49905.48538,3.451772538
34005.96941,0.686920849
38201.15372,2.246745707
19094.99153,1.627695089
28584.64123,2.453209061
74515.0065,4.109944653
33542.52107,2.572598203
67078.25202,4.810424058
63259.06067,4.827416304
19311.80677,2.465761128
51285.45227,3.757378987
42782.09872,3.691348189
15794.70288,1.981809911
29076.82177,1.410229567
56447.1409,3.75430142
35711.75436,4.245215597
23451.07567,1.437876724
58451.97028,4.159887144
52984.80408,3.514891782
34346.99925,2.714498038
18659.95232,1.357373136
50956.15491,5.638460387
15308.07727,2.421464669
16183.11459,1.511205108
66876.77218,5.522891668
73472.45523,4.396622319
59838.45696,3.988452835
51960.82373,3.31760678
41930.07431,2.779682627
23476.87551,0.846505526
47094.89378,2.457921707
23071.9771,3.509604688
27307.68821,2.646904537
38825.13505,2.977916724
35743.93645,1.424450548
41595.76384,1.790342317
15446.34333,1.644636603
33838.96674,0.73163629
36147.45183,2.901788592
65038.82324,4.317133158
18484.12558,2.09736906
44203.11904,4.391592976
64771.53237,5.313956903
65614.19985,6.281370191
71809.07194,5.60796663
28090.90781,2.946870435
56862.0541,3.872788848
48003.43746,2.842868351
24129.12159,1.46061633
29257.0352,3.752824766
31741.75764,3.126603239
26855.29629,2.821192645
21244.29242,2.734960056
26940.22127,2.19759212
42308.88794,4.155540864
53505.15664,4.078208838
50915.79506,4.45696361
62503.02214,4.93925896
53246.32561,3.730569958
20484.97711,2.575054857
23813.85245,2.176322145
69199.42971,6.236955312
23595.07794,0.898732803
45457.07462,3.629424387
73105.02636,5.923346071
16974.63691,0.546190176
44835.8582,3.031497066
20799.5534,2.847816843
48343.97386,4.51696059
47613.44479,4.59169701
42700.36551,3.157765091
53797.95423,4.28799968
42555.57225,3.618829789
42164.68481,3.20079786
56937.25061,3.999703007
29965.20703,1.662253199
28494.58214,2.391549999
37449.73637,3.067609453
34415.13288,2.017513588
42800.7538,3.64088397
18244.55719,0.266043663
28892.42002,1.295427294
21699.77498,1.853347613
69768.987,5.367236103
26837.31229,2.466292344
16511.56092,1.723593561
44163.20576,4.307288416
38810.98692,3.156367436
37845.60552,1.690458095
62672.605,5.085523011
18903.2676,2.48162387
17620.58178,1.353317341
60891.62512,5.275294151
63742.53863,3.670291526
63924.83125,3.69639041
32043.16343,2.679887318
29081.46911,2.363564669
23499.52069,1.438596105
70043.98837,5.362448263
34835.99117,2.325309226
25174.63803,1.529560944
56984.51341,4.035727019
43819.23282,3.550337184
47720.5909,3.554600317
53950.16451,4.199728526
54564.41309,3.135475154
17883.59923,1.145295813
31125.92784,3.539854127
50809.68448,3.822203964
48513.13918,3.835577646
66074.72112,5.683750561
31268.56179,2.517400876
65627.62833,4.324660384
23430.75473,2.958696801
16000.33017,1.680997133
52481.75536,4.253501304
30354.61316,2.260395693
49473.72147,3.615471053
15749.53616,1.502211626
57417.24885,3.776484631
59104.7527,3.201042435
61950.03987,4.058311616
54925.89725,4.105224517
45172.44574,3.722097639
43117.85997,3.822270313
46337.4137,3.706660981
74238.32498,4.909688469
25077.68548,2.155733626
57125.86659,5.743736081
68223.7691,4.337571452
33675.91818,2.58241664
63201.91311,4.284305558
22986.43365,2.96216821
46998.95879,3.990415894
72467.54831,5.890148697
56669.51153,3.688539518
40874.61982,3.217847363
33145.56071,2.220470327
67683.36228,5.910284878
54057.4906,4.853032519
36322.8339,3.802973633
49249.49687,3.092164648
36992.05521,3.233313747
68969.29289,5.265478958
70255.17695,4.81153338
64756.25217,5.368041173
16393.8057,1.798718303
66359.54116,4.760014333
46044.09215,3.415806479
70320.57099,5.040174582
31023.46043,1.965635933
30441.14204,1.871957854
61828.99232,5.323507389
54150.52928,4.501158336
38606.95981,2.435094856
56953.38812,4.553216548
63649.1894,4.36170927
20990.93467,1.478787199
34989.67518,2.768523129
59946.02282,3.960636371
68409.30948,5.915781395
57549.40995,3.98019535
69267.20969,4.708202988
16238.13737,1.416661055
59063.58484,4.328417097
74815.21381,6.196295546
26078.53159,1.945961053
16606.50497,0.698459965
62355.85355,5.135455316
29659.91721,1.560355376
62792.65066,4.234991215
22204.03863,0.688909231
20709.50246,0.685848874
28684.18626,1.791753568
39281.40904,3.227472173
68357.47726,5.15933124
34371.64722,3.802970673
51395.65218,4.216057592
60045.21296,4.932409978
32831.66895,2.233440584
59191.29259,4.37825945
39101.98547,3.483925685
26420.98592,2.030297043
57208.77412,3.596398318
33999.1642,3.261182104
16116.06313,3.481137767
47836.8549,3.393439153
45914.89106,4.229663345
56718.39739,4.321364297
60527.31401,4.400455145
43157.94177,3.357597382
64958.54763,5.335718004
